crop_type,yield_value,location,year,yield_source_section,yield_confidence,yield_notes,Treatment,Treatment_source_section,Treatment_confidence,Treatment_notes,Tillage,Tillage_source_section,Tillage_confidence,Tillage_notes,Soil_property,Soil_source_section,Soil_confidence,Soil_notes,climate,climate_source_section,climate_confidence,climate_notes,remote_sensing_data,rs_source_section,rs_confidence,rs_notes
cassava,8 Mg ha⁻¹,"Santander de Quilichao, Colombia",1981,value_identifier_1,,,,,,,,,,,Typic Dystropept,value_identifier_1,,,,,,,,,,
cowpea,2.3 Mg ha⁻¹,"Santander de Quilichao, Colombia",1981,value_identifier_1,,,,,,,,,,,Typic Dystropept,value_identifier_1,,,,,,,,,,
peanut,4.4 Mg ha⁻¹,"Santander de Quilichao, Colombia",1981,value_identifier_1,,,,,,,,,,,Typic Dystropept,value_identifier_1,,,,,,,,,,
cassava,7.5 Mg ha⁻¹,"Ibadan, Nigeria",1982,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
cassava,6.2 Mg ha⁻¹,"Ibadan, Nigeria",1982,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
cassava,5.8 Mg ha⁻¹,"Ibadan, Nigeria",1982,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
cowpea,3.9 Mg ha⁻¹,"Ibadan, Nigeria",1981,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
peanut,16.2 Mg ha⁻¹,"Ibadan, Nigeria",1981,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
cowpea,13.4 Mg ha⁻¹,"Ibadan, Nigeria",1982,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
peanut,18.5 Mg ha⁻¹,"Ibadan, Nigeria",1982,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
cowpea,20.1 Mg ha⁻¹,"Ibadan, Nigeria",1981,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
peanut,17.8 Mg ha⁻¹,"Ibadan, Nigeria",1981,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
cowpea,15.2 Mg ha⁻¹,"Ibadan, Nigeria",1982,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
peanut,17.8 Mg ha⁻¹,"Ibadan, Nigeria",1982,labeller_2,,,,,,,,,,,sandy loam,labeller_2,,,,,,,,,,
cassava,18.5 Mg ha⁻¹,"Santander de Quilichao, Colombia",1981,value_identifier_1,,,,,,,,,,,Typic Dystropept,value_identifier_1,,,,,,,,,,
cassava,15.2 Mg ha⁻¹,"Santander de Quilichao, Colombia",1982,value_identifier_1,,,,,,,,,,,Typic Dystropept,value_identifier_1,,,,,,,,,,
cassava,20.1 Mg ha⁻¹,"Santander de Quilichao, Colombia",1982,value_identifier_1,,,,,,,,,,,Typic Dystropept,value_identifier_1,,,,,,,,,,
cassava,17.8 Mg ha⁻¹,"Santander de Quilichao, Colombia",1982,value_identifier_1,,,,,,,,,,,Typic Dystropept,value_identifier_1,,,,,,,,,,
